danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.645,0.943,-1.526,0.0393,0.385,0.0,0.37,0.965,147.768,splish splash,bobby darin,1
0.766,0.179,-12.739,0.133,0.113,0.0,0.115,0.355,137.548,fever,peggy lee,1
0.668,0.457,-7.138,0.0637,0.493,0.0147,0.117,0.691,120.494,western movies,the olympics,0
0.506,0.699,-3.834,0.0348,0.569,0.0,0.158,0.901,103.463,i wonder why,dion & the belmonts,0
0.534,0.462,-8.172,0.0266,0.839,0.0,0.129,0.534,96.195,all i have to do is dream,the everly brothers,0
0.646,0.501,-11.395,0.0438,0.794,4.79e-06,0.133,0.934,80.275,over and over,bobby day,0
0.609,0.756,-5.747,0.0375,0.762,5.11e-05,0.0521,0.968,136.045,stupid cupid,connie francis,0
0.534,0.803,-9.129,0.0743,0.741,6.07e-05,0.307,0.969,167.983,johnny b. goode,chuck berry,0
0.587,0.34,-9.387,0.0256,0.834,0.0,0.0955,0.526,90.523,devoted to you,the everly brothers,0
0.533,0.37,-12.607,0.0267,0.652,0.0,0.101,0.587,110.548,please love me forever,tommy edwards,0
0.404,0.193,-12.501,0.0305,0.794,0.000296,0.103,0.273,77.026,lonesome town,ricky nelson,0
0.203,0.295,-11.155,0.0323,0.92,2.05e-06,0.173,0.285,171.222,smoke gets in your eyes,the platters,0
0.647,0.876,-5.662,0.185,0.881,3.59e-05,0.26,0.949,151.925,run rudolph run,chuck berry,0
0.57,0.547,-9.11,0.0283,0.669,2.01e-05,0.0849,0.714,115.146,venus,frankie avalon,0
0.286,0.522,-5.329,0.0312,0.237,0.0,0.32,0.564,142.538,since i don't have you,the skyliners,0
0.601,0.095,-18.478,0.0374,0.93,0.000285,0.116,0.672,122.975,come softly to me,the fleetwoods,0
0.382,0.223,-13.817,0.0324,0.903,3.23e-06,0.282,0.292,79.395,enchanted,the platters,0
0.555,0.377,-9.123,0.0295,0.671,0.0,0.128,0.619,78.986,a teenager in love,dion & the belmonts,0
0.526,0.774,-1.692,0.0459,0.715,0.0,0.437,0.715,131.715,dream lover,bobby darin,0
0.652,0.934,-3.89,0.0497,0.629,0.000377,0.327,0.971,85.845,i'm ready,fats domino,0
0.526,0.931,-6.723,0.0526,0.342,9.91e-05,0.271,0.929,165.365,lipstick on your collar,connie francis,0
0.158,0.479,-7.554,0.0336,0.358,9.09e-06,0.101,0.319,73.192,the wonder of you,ray peterson,0
0.608,0.405,-12.973,0.031,0.781,0.0,0.263,0.617,117.758,bobby sox to stockings,frankie avalon,0
0.552,0.313,-12.41,0.0296,0.916,0.0017,0.12,0.303,88.554,i only have eyes for you,the flamingos,0
0.849,0.374,-12.059,0.0707,0.778,0.0,0.235,0.973,130.618,alimony,frankie ford,0
0.683,0.572,-9.033,0.0342,0.492,0.00583,0.098,0.936,134.561,i ain't never,webb pierce,0
0.549,0.529,-12.291,0.108,0.76,0.0,0.206,0.464,82.755,mack the knife,bobby darin,0
